	width	DN3a_1	DN3b_1	DN3c_1	DN3a_2	DN3b_2	DN3c_2	DN3a_4	DN3b_4	DN3c_4	DN3a_5	DN3b_5	DN3c_5
ENSMUSG00000000001	3262	4255	6111	4443	7584	4604	4688	7195	4892	4869	4569	5052	7248
ENSMUSG00000000003	902	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	2252	481	2934	162	705	2123	182	750	2429	192	559	2449	267
ENSMUSG00000000031	2372	3891	452	18244	8005	330	23498	12770	425	25566	13324	604	35826
ENSMUSG00000000037	6079	115	148	127	180	108	143	177	133	114	129	122	223
ENSMUSG00000000049	1594	0	0	0	3	1	1	2	0	0	1	0	4
ENSMUSG00000000056	4806	1595	923	1871	2589	633	1859	2884	710	2052	1695	839	2528
ENSMUSG00000000058	3335	1	1	3	0	1	0	8	1	2	6	2	3
ENSMUSG00000000078	4217	5386	2069	8597	11003	1689	9955	10666	1818	9731	5634	2429	16485
ENSMUSG00000000085	7731	991	1046	1097	1563	811	1176	1862	899	1272	1196	872	1567
ENSMUSG00000000088	690	1062	3129	736	1791	2587	943	1705	2562	1106	1478	2986	1223
ENSMUSG00000000093	3626	16	5	48	35	1	44	41	0	27	30	4	45
ENSMUSG00000000094	3401	1	0	0	1	0	1	0	0	0	1	0	0
ENSMUSG00000000103	3107	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	3446	20	1	122	49	2	130	62	1	118	53	3	134
ENSMUSG00000000125	3076	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000000126	3329	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000127	3473	3	12	7	12	14	3	8	10	5	1	25	8
ENSMUSG00000000131	16920	3874	6003	4194	6662	4356	4633	7596	5221	4899	4694	5545	6004
ENSMUSG00000000134	9261	498	532	601	919	457	821	1075	442	747	735	517	899
ENSMUSG00000000142	5506	178	416	243	341	278	351	383	297	355	339	339	449
ENSMUSG00000000148	6179	741	953	1101	1231	654	1303	1386	724	1080	843	662	1190
ENSMUSG00000000149	3416	1048	1149	1223	1826	855	1360	2080	959	1335	1503	1148	1590
ENSMUSG00000000154	1699	0	1	0	2	0	0	1	0	0	1	1	0
ENSMUSG00000000157	2936	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	2766	0	0	1	2	0	3	2	0	0	1	2	4
ENSMUSG00000000167	2813	28	18	27	48	17	31	64	27	26	12	22	43
ENSMUSG00000000168	4886	927	2063	916	1557	1536	1045	1524	1654	953	1005	1744	1347
ENSMUSG00000000171	1287	1743	3562	1488	3007	2979	1783	3101	3117	2165	2318	3393	2561
ENSMUSG00000000182	1814	0	0	0	0	0	0	0	0	0	0	0	0
