"logFC";"logCPM";"PValue";"FDR"
"ENSMUSG00000000001";-0.0394254616001627;7.72397223242872;0.698093014122244;0.816888758700221
"ENSMUSG00000000028";-1.54037631989268;3.9582377780294;3.19045386669817e-39;3.38359903539752e-36
"ENSMUSG00000000031";1.53641900849392;9.40108137955997;3.77664406571726e-09;1.25164883976067e-07
"ENSMUSG00000000037";0.107720903301764;2.53698491182368;0.547029107212048;0.702884444009649
"ENSMUSG00000000056";0.0497124656784954;6.33957573646216;0.583783718876981;0.731704012251695
"ENSMUSG00000000078";0.578887848346513;8.5068411718506;1.55775334477954e-05;0.000236008190818412
"ENSMUSG00000000085";-0.0154545737322473;5.66912158542;0.860873159270512;0.925158488336
"ENSMUSG00000000088";-0.494721262410635;5.57339117048532;9.28726953572243e-06;0.000148370318758986
"ENSMUSG00000000120";1.59301582408357;1.76368221336076;3.30789071820013e-14;2.15122119489742e-12
"ENSMUSG00000000131";-0.0818810228237136;7.64984822569217;0.329181578674109;0.508823335585502
"ENSMUSG00000000134";0.0562996189213573;4.89828935216967;0.587177635504506;0.734078532889066
"ENSMUSG00000000142";0.276369781896026;3.65439172641289;0.0751457338997734;0.189506902007715
"ENSMUSG00000000148";0.297003922895529;5.41004824079159;0.0081059830530488;0.0387641999141116
"ENSMUSG00000000149";-0.102457132277205;5.82734974388677;0.267489451251631;0.443627699315078
"ENSMUSG00000000167";-0.100159065083242;0.468538279511865;0.775916014402863;0.872059516635874
"ENSMUSG00000000168";-0.120199080565676;5.45832323517422;0.193600563634326;0.357127504793478
"ENSMUSG00000000171";-0.242031927218974;6.42230394928068;0.0157913298130155;0.0629780341718383
"ENSMUSG00000000184";0.176038930866239;8.81006206241644;0.140595731780823;0.289090218240564
"ENSMUSG00000000194";0.203900341499206;5.77756020391281;0.0293535931003122;0.0983231263542284
"ENSMUSG00000000253";-0.127983095966015;4.08215012942667;0.296332472889929;0.474620795043384
"ENSMUSG00000000275";0.153132823325894;8.09967807185587;0.0898051260654501;0.213032221793593
"ENSMUSG00000000276";0.374458645288949;8.97278111416751;0.00103208897704825;0.00799854453432502
"ENSMUSG00000000278";-0.495786465615275;2.32509344107002;0.0046710396108389;0.0257186993269313
"ENSMUSG00000000282";0.093119525589107;6.346999070207;0.435564774364171;0.608422648850945
"ENSMUSG00000000290";-0.534155155268121;3.87991111572436;2.86531511969716e-05;0.000396229684606467
"ENSMUSG00000000295";-0.357815157141981;4.22354520669358;0.00139880024182163;0.0101288124653334
"ENSMUSG00000000301";-0.145451913144935;1.13547700146899;0.530471090557351;0.689117584614548
"ENSMUSG00000000303";0.54863500452608;6.88280049659857;2.43905327623811e-10;9.86135704384013e-09
"ENSMUSG00000000325";0.116016814310979;4.42761097525061;0.275811632083904;0.452638372996165
"ENSMUSG00000000326";-0.171020317693661;3.73627893872362;0.135541683131951;0.281555150023795
"ENSMUSG00000000339";-0.0905079257605923;4.76992187791596;0.389878246688265;0.567788252571153
"ENSMUSG00000000340";0.0512440607571004;5.18340220749162;0.585548544019241;0.733305275355915
"ENSMUSG00000000346";-0.0848110701493421;7.91378894306169;0.373766298828558;0.552672239591305
"ENSMUSG00000000355";-0.0347314782636609;4.81210783569693;0.799512703270935;0.887367705683174
"ENSMUSG00000000374";0.00275836535996865;6.82860409239861;0.973543024601897;0.988403215853088
"ENSMUSG00000000378";0.166265812194256;6.25546330945499;0.068973512691475;0.179354549128134
"ENSMUSG00000000384";-0.0686498994937479;6.48772331403022;0.49686348782899;0.662500667959215
"ENSMUSG00000000386";0.067953657207167;2.40080677501158;0.785382251578079;0.878830054582175
"ENSMUSG00000000399";-0.279376828171902;5.83386287699129;0.00426061419272481;0.024064353902129
"ENSMUSG00000000409";0.222838157579068;10.9302661515263;0.0241685373257729;0.0857221129837884
"ENSMUSG00000000420";-0.0734085770009521;7.02226025235778;0.398169722889734;0.575324925496699
"ENSMUSG00000000439";0.0109186919042827;5.6691663590161;0.931935583049807;0.966459551771986
"ENSMUSG00000000440";-0.561980433648684;1.24204150382121;0.00462874627362855;0.0255675179785724
"ENSMUSG00000000441";0.0370040589602323;7.62600182109086;0.661672533093021;0.790676722332481
"ENSMUSG00000000486";0.145299221700941;8.96166279156504;0.188752343493344;0.351381117977685
"ENSMUSG00000000531";0.517380706381474;4.66971795517515;1.28885275498763e-05;0.000199208665168323
"ENSMUSG00000000532";0.260793178529836;5.41929429348085;0.02269242180524;0.0818791990130447
"ENSMUSG00000000538";0.475233000498311;6.26110446812632;0.000202191223823038;0.00204520205638168
"ENSMUSG00000000552";0.137714694016572;6.154486205808;0.258503353111269;0.433838798459533
"ENSMUSG00000000555";0.148161447808605;6.16539853913171;0.149297052610182;0.30071881426484
"ENSMUSG00000000561";-0.210266885520341;6.7219155794552;0.0278117279953647;0.0947702159842049
"ENSMUSG00000000563";-0.291169095660968;6.86818196185955;0.0036391590221368;0.0214140356116945
"ENSMUSG00000000568";-0.402428036767125;7.49472128979494;3.42209018027184e-05;0.000462552522700077
"ENSMUSG00000000579";0.69438625492529;3.15536644624339;0.000848521362037995;0.00674268819505351
"ENSMUSG00000000581";-0.294693579955675;4.73168280934095;0.0121400552674954;0.0523065533509521
"ENSMUSG00000000594";-0.068987213243753;6.52677089853727;0.456166479987857;0.627223223256466
"ENSMUSG00000000600";0.273169460237526;6.89660946646371;0.0487182584772502;0.141343889452145
"ENSMUSG00000000605";0.201324082900245;6.39316567686993;0.0312602408584187;0.102615462075004
"ENSMUSG00000000628";-0.643251552036851;4.06310199879542;0.00279351332611268;0.0174272254421337
"ENSMUSG00000000631";-0.123282414702238;7.44034812306673;0.202501285417214;0.367208368018825
"ENSMUSG00000000673";-0.00612556561220542;1.8920332975428;1;1
"ENSMUSG00000000682";0.373322484409818;2.93845587006138;0.00612138772801397;0.0314600026221714
"ENSMUSG00000000686";0.939013114318889;5.58536731548735;7.21902516376627e-09;2.26716856339056e-07
"ENSMUSG00000000708";0.518203196319601;6.84541584476046;1.00529778320157e-05;0.000159494137364788
"ENSMUSG00000000711";0.271852026275605;5.77341330244958;0.012794001065485;0.0542121774788841
"ENSMUSG00000000731";-0.904181426290222;2.38631294143847;9.35758310032623e-08;2.43420751328675e-06
"ENSMUSG00000000732";-0.916346886228241;2.90864103595969;1.17426399065739e-08;3.53484227929989e-07
"ENSMUSG00000000738";0.105606195480309;6.61458793051203;0.267285919041114;0.443474958483003
"ENSMUSG00000000740";-0.194317379080711;6.45716536369331;0.109707129918507;0.244486772947716
"ENSMUSG00000000743";0.164633938352093;6.53569463239019;0.129632083176687;0.272853534247483
"ENSMUSG00000000751";-0.617532135439601;6.59500520347208;1.94479543010421e-12;1.03524689555393e-10
"ENSMUSG00000000759";0.0637293421868935;6.54159793915124;0.440683860726754;0.613322800523547
"ENSMUSG00000000776";-0.182111162936471;4.57573546957799;0.129321452579857;0.272539722824594
"ENSMUSG00000000782";-0.449714752221057;10.5439491770349;2.23192946212635e-07;5.38907381687146e-06
"ENSMUSG00000000787";0.10937862158147;9.42093757319257;0.446554090323775;0.618921817326902
"ENSMUSG00000000791";-0.0207448399678409;3.8576471249018;0.91214303251651;0.954994084429999
"ENSMUSG00000000804";0.442069798364427;6.04825747289562;0.000589467623870098;0.00500314549065247
"ENSMUSG00000000811";-0.00347027311275012;2.82909562746786;1;1
"ENSMUSG00000000823";0.388201420864882;7.71137694243987;3.28696569349096e-05;0.000447024383044966
"ENSMUSG00000000826";0.159767010224935;7.91118158217744;0.0719272543216102;0.184637253896165
"ENSMUSG00000000827";-0.0721077948985084;5.90903595975338;0.48630309380846;0.653914339807713
"ENSMUSG00000000838";0.0381013726271332;6.3267916683059;0.826927676588518;0.905670171064471
"ENSMUSG00000000861";-0.20057759920808;4.29014557630504;0.101496154309078;0.231753474570928
"ENSMUSG00000000876";-0.0697415197721192;4.70801999901504;0.491406313550412;0.658964474410979
"ENSMUSG00000000881";0.23197127191803;5.02730953437106;0.0137965239837806;0.0570492979456664
"ENSMUSG00000000884";0.163375408821751;4.48344924439818;0.170230559410809;0.328339216927368
"ENSMUSG00000000901";0.169622674690104;2.3500156904005;0.378124930721363;0.556847726965972
"ENSMUSG00000000902";-0.125953225960601;6.65418814124604;0.200027098760897;0.364302986871399
"ENSMUSG00000000915";-0.088760372391316;5.48758155358957;0.377621556938206;0.556522544682742
"ENSMUSG00000000916";0.0748330011461747;5.45474771177483;0.452932852802364;0.624645917934
"ENSMUSG00000000934";-0.656821055290367;2.05660480251164;0.000194369583262552;0.00198354807138476
"ENSMUSG00000000942";0.191829595904685;0.164135578781804;0.469694635002947;0.639889321421505
"ENSMUSG00000000959";-0.155919796529493;5.9260452600096;0.0829906872859605;0.202907005783213
"ENSMUSG00000000976";0.0722547692903822;6.07979366628085;0.4228144027318;0.59721376276945
"ENSMUSG00000001016";-0.0190273987019899;7.17309664450795;0.844069896843399;0.915089381755127
"ENSMUSG00000001017";0.0786242989804634;7.54740824354237;0.36275026328318;0.542669040786155
"ENSMUSG00000001018";0.0688373604649819;5.05058952436861;0.43761693552039;0.6105469226897
"ENSMUSG00000001029";-0.594212437301189;4.83070367661867;8.79101456793918e-08;2.3086041494891e-06
"ENSMUSG00000001034";0.0855833732084072;5.34103912343311;0.445921224320929;0.618378185446857
"ENSMUSG00000001039";-0.754317575880883;0.587941896451429;0.00110656781720074;0.0084428613700867
"ENSMUSG00000001052";-0.0544889428445511;7.62598343046563;0.556930670592847;0.710700032901109
"ENSMUSG00000001053";-0.0866649272995459;4.60528953038094;0.511865702049545;0.674803254365757
"ENSMUSG00000001054";0.118324310175908;6.31364597746659;0.172840421993532;0.33184109428002
"ENSMUSG00000001056";-0.436270326339829;5.28243591917336;6.49646584419426e-05;0.000787054258294431
"ENSMUSG00000001062";0.126937077515095;5.17626731891265;0.200526508807256;0.364932226461585
"ENSMUSG00000001065";0.342793866079003;5.40489173026594;0.00192580381883886;0.0130024766162249
"ENSMUSG00000001082";-0.192372476173517;5.2753697105423;0.094016920216402;0.219362206637931
"ENSMUSG00000001089";-0.707517765015744;4.41414900961673;1.50932101637314e-07;3.72921305604595e-06
"ENSMUSG00000001098";-0.0995526801551342;6.12833229898942;0.25883166245352;0.43407531524637
"ENSMUSG00000001100";-0.116297174519652;5.87636828239649;0.207786161597422;0.373841551604288
"ENSMUSG00000001105";0.00601472323721183;4.85828371122225;0.953776668312123;0.978999438922836
"ENSMUSG00000001120";-0.122199328038109;3.45654950321992;0.344176192128349;0.523632438851639
"ENSMUSG00000001123";-0.402388001578862;8.41219569641736;2.15566575831854e-05;0.000311205903768982
"ENSMUSG00000001127";0.230962208776746;7.26544299402672;0.00825389014064913;0.0392608551738655
"ENSMUSG00000001128";0.684729399585218;3.56501688997088;5.87274776383692e-07;1.27307505377389e-05
"ENSMUSG00000001134";-0.0214785337613412;2.88622992266189;0.887873937928275;0.939744970230088
