	width	WT_1	WT_2	WT_3	WT_4	TG_1	TG_2	TG_3	TG_4
ENSMUSG00000000001	3262	4525	4509	4431	3669	5365	5715	4589	4762
ENSMUSG00000000003	902	0	0	0	0	0	0	0	0
ENSMUSG00000000028	2252	2039	2303	2403	2298	1550	1896	1305	1434
ENSMUSG00000000031	2372	145	598	232	242	113	35	27	57
ENSMUSG00000000037	6079	98	121	101	117	136	165	143	147
ENSMUSG00000000049	1594	0	0	1	0	0	0	1	3
ENSMUSG00000000056	4806	853	1065	778	617	1560	1499	1243	1465
ENSMUSG00000000058	3335	0	0	2	1	1	2	0	0
ENSMUSG00000000078	4217	1907	1858	2209	1515	3968	4830	3888	2324
ENSMUSG00000000085	7731	583	734	748	736	1129	1442	1038	813
ENSMUSG00000000088	690	1801	1952	2095	1936	1113	1275	963	1012
ENSMUSG00000000093	3626	0	2	2	2	8	8	3	6
ENSMUSG00000000094	3401	0	0	0	0	0	0	0	0
ENSMUSG00000000103	3107	0	0	0	0	0	0	0	0
ENSMUSG00000000120	3446	1	2	3	4	1	3	1	0
ENSMUSG00000000125	3076	0	0	0	0	0	0	0	0
ENSMUSG00000000126	3329	0	0	0	0	0	0	0	0
ENSMUSG00000000127	3473	7	9	20	5	26	22	23	28
ENSMUSG00000000131	16920	3459	4387	4194	4322	4105	4747	3345	3287
ENSMUSG00000000134	9261	248	406	340	341	641	724	473	496
ENSMUSG00000000142	5506	249	322	308	292	536	536	385	324
ENSMUSG00000000148	6179	338	465	437	596	697	836	529	547
ENSMUSG00000000149	3416	457	705	642	733	742	867	625	560
ENSMUSG00000000154	1699	0	1	0	0	0	0	0	0
ENSMUSG00000000157	2936	0	0	0	0	0	0	0	0
ENSMUSG00000000159	2766	0	0	1	0	0	1	0	0
ENSMUSG00000000167	2813	32	16	24	31	16	30	28	24
ENSMUSG00000000168	4886	1159	1281	1256	1362	778	880	692	791
ENSMUSG00000000171	1287	2382	3049	3014	3007	1607	1929	1350	1507
ENSMUSG00000000182	1814	1	0	0	0	0	0	0	0
ENSMUSG00000000183	4657	0	0	0	0	1	1	1	1
ENSMUSG00000000184	9409	1665	2018	1749	1932	592	541	473	491
ENSMUSG00000000194	12766	432	457	461	423	1143	1325	836	901
ENSMUSG00000000197	7115	0	0	0	0	0	0	0	0
ENSMUSG00000000202	3187	0	0	0	0	0	0	0	0
ENSMUSG00000000204	3969	45	36	52	25	48	58	46	41
ENSMUSG00000000214	2364	0	0	0	0	0	0	0	0
ENSMUSG00000000215	810	0	0	0	0	0	0	0	0
ENSMUSG00000000216	2991	0	0	0	0	0	0	0	0
ENSMUSG00000000223	8553	37	40	31	24	70	113	69	64
ENSMUSG00000000244	6234	2	22	2	4	49	76	38	69
ENSMUSG00000000247	4393	9	17	13	21	110	130	94	81
ENSMUSG00000000248	2847	1	0	9	4	6	11	2	5
ENSMUSG00000000253	1871	107	164	131	153	105	163	83	89
ENSMUSG00000000263	2414	0	0	0	0	0	0	0	0
ENSMUSG00000000266	8114	2	0	0	0	0	2	0	1
ENSMUSG00000000275	5754	2230	2820	2678	2078	4912	5371	3717	3884
ENSMUSG00000000276	8387	5685	5733	4858	4319	9586	11658	8848	7891
